id;full_aadress;zip_code;x_coordinate;y_coordinate;country
1;action-items;47059;46236;21792;Lib
2;systems Team-oriented Organic;89784-5634;13740;10716;Par
3;AwesomeXXX;99325-4485;1946;16213;Far
4;MewsXXXXXX;40608-8281;90712;94888;Bul
5;Tunisian Dinar Idaho 24/365;53908;99410;49912;Chr
6;navigating out-of-the-box Intelligent;92320;16736;56541;Mal
7;Table Tasty;59049;92698;88246;Chi
8;Illinois PNG;51592-4630;55305;37948;Bou
9;Assurance Security;81843-6353;11862;86433;Coc
10;architect Electronics Clothing;36910;9902;22088;Nig
