id;created_date;status;service_start;service_end;accepted_date;accepted_by;additional_desc
1;2021-04-19;Rubber collaboration RAM;2021-04-19;2021-04-19;2021-04-18;2021-04-19;Islands Future EXE
2;2021-04-19;Avon Architect payment;2021-04-18;2021-04-19;2021-04-18;2021-04-18;Human
3;2021-04-19;innovate monitor transparent;2021-04-19;2021-04-19;2021-04-19;2021-04-18;Faroe Islands Oklahoma
4;2021-04-18;Interactions;2021-04-19;2021-04-19;2021-04-19;2021-04-19;bandwidth Specialist Turks and Caicos Islands
5;2021-04-19;THX solution COM;2021-04-18;2021-04-18;2021-04-19;2021-04-19;orange auxiliary
6;2021-04-19;Open-source;2021-04-19;2021-04-19;2021-04-19;2021-04-18;wireless Tonga composite
7;2021-04-19;Bedfordshire Shirt;2021-04-18;2021-04-19;2021-04-18;2021-04-18;Direct AI
8;2021-04-18;Alabama Savings Account Producer;2021-04-19;2021-04-19;2021-04-19;2021-04-19;Corporate
9;2021-04-18;Gorgeous Cotton Tuna Bedfordshire;2021-04-18;2021-04-19;2021-04-19;2021-04-18;Barbados
10;2021-04-18;Savings Account firmware cross-platform;2021-04-18;2021-04-19;2021-04-18;2021-04-18;Cheese Profound application
